State,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
New Mexico,5.60,8.11,7.94,7.31,7.12,7.46,7.01,6.97,7.05,7.36,6.97,6.72,6.54,6.31,6.73,7.02,7.08,7.11,7.33,8.40
New York,1.61,1.50,1.43,1.36,1.39,1.34,1.42,1.48,1.42,1.41,1.49,1.37,1.36,1.46,1.51,1.50,1.45,1.51,1.60,2.07
North Carolina,1.81,1.72,2.04,1.97,2.06,1.99,2.29,2.06,1.97,2.09,2.17,2.11,2.45,2.35,2.32,2.55,2.52,2.72,2.89,3.00
North Dakota,0.81,1.46,1.73,2.40,1.15,1.19,1.12,1.60,1.38,1.31,1.21,0.93,0.90,0.87,0.82,0.99,1.05,0.99,1.06,1.23
Ohio,1.95,2.02,2.03,1.75,1.76,1.95,2.02,2.05,2.09,2.01,1.96,2.00,1.97,2.02,2.00,1.92,2.00,2.12,2.23,2.41
Oklahoma,0.72,0.80,0.92,0.71,0.65,0.65,0.63,0.64,0.68,0.67,0.73,0.60,0.56,0.57,0.70,0.76,0.80,0.81,0.90,0.99
Oregon,1.81,2.40,2.82,2.70,2.73,2.67,2.72,2.91,3.05,3.21,3.23,3.45,3.61,3.87,3.59,3.49,3.80,4.06,3.56,4.58
Pennsylvania,2.41,2.21,2.16,2.22,2.33,2.43,2.39,2.22,2.32,2.16,2.18,2.04,2.21,2.15,2.08,2.40,2.12,2.24,2.59,2.79
Rhode Island,4.35,4.33,4.43,4.34,4.48,4.24,2.28,2.61,2.41,2.91,2.78,2.50,2.50,2.38,2.53,2.86,2.40,2.35,2.36,2.64
South Carolina,0.98,1.34,1.23,1.17,1.45,1.41,1.41,1.27,1.41,1.46,1.39,1.50,1.05,1.05,1.10,1.06,1.05,1.16,1.17,1.05
South Dakota,0.37,0.42,0.55,0.51,0.51,0.59,0.68,0.69,0.72,0.72,0.70,0.61,0.68,0.58,0.56,0.59,0.66,0.64,0.63,0.61
Tennessee,1.13,1.31,1.46,1.45,1.30,1.34,1.47,1.52,1.56,1.53,1.56,1.51,1.40,1.39,1.34,1.35,1.27,1.30,1.53,1.59
Texas,1.56,1.80,1.77,1.56,1.59,1.55,1.50,1.63,1.71,1.57,1.54,1.45,1.43,1.42,1.50,1.48,1.63,1.51,1.66,1.92
Utah,1.94,2.07,1.91,1.86,1.98,1.83,2.04,2.15,2.40,2.70,2.61,2.25,2.82,2.58,2.80,2.63,2.13,2.16,1.97,2.16
Vermont,2.54,1.96,2.31,2.38,2.09,2.03,2.15,2.10,2.11,1.65,1.83,2.02,1.82,1.40,1.21,1.19,1.17,1.31,1.13,1.67
Virginia,1.89,2.00,2.43,2.21,2.39,2.62,2.42,2.84,2.79,2.54,2.57,2.26,2.06,2.25,2.09,1.88,1.73,2.06,2.08,2.36
Washington,4.43,4.27,4.49,4.07,4.04,4.32,4.40,4.71,5.50,4.57,4.74,4.41,4.30,4.31,4.29,4.70,4.73,5.93,6.75,7.46
West Virginia,1.08,1.19,1.14,1.05,1.06,0.94,1.10,1.24,1.03,0.90,0.86,0.89,0.86,0.83,0.77,0.63,0.65,0.76,0.65,0.72
Wisconsin,1.49,1.84,1.79,1.71,1.67,1.74,1.85,2.01,1.99,2.09,2.10,2.06,2.01,1.96,1.99,2.07,2.18,2.27,2.38,2.43
Wyoming,0.36,0.42,0.53,0.42,0.44,0.39,0.35,0.36,0.39,0.29,0.29,0.27,0.27,0.31,0.66,0.81,0.58,0.40,1.98,3.19
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
